,First Name_GAA,Last Name_GAA,Team_GAA,TOI,GAA_GAA,GSAA_GAA,SV%_GAA,TrueSV%_GAA,ExpSV%_GAA,xGSAA_GAA,CA_GAA,FA_GAA,SA_GAA,xGA_GAA,GA_GAA,HighS_GAA,HighG_GAA,HighSV%_GAA,MedS_GAA,MedG_GAA,LowS_GAA,LowG_GAA,AdjSV%_GAA,Dist_GAA,Reb_GAA,Rush_GAA,DS_GAA,PenT_GAA,PenD_GAA,PenDf_GAA,CF_GAA,FF_GAA,SF_GAA,xGF_GAA,GF_GAA,RebF_GAA,RushF_GAA,Supp_GAA,ZS%_GAA,OZS_GAA,DZS_GAA,NZS_GAA,Last Name_injuries,First Name_injuries,Team_injuries,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,GP,GS,GR,W,L,T,OTL,SA_injuries,SV,GA_injuries,SV%_injuries,GAA_injuries,GSAA_injuries,MIN,SO,G,A,PTS,PIM,PenT_injuries,PenD_injuries,PenDf_injuries,Supp_injuries,QoC,StMin,StSV,StGA,StSV%,StGAA,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,Dist_injuries,Reb_injuries,Rush_injuries,DS_injuries,HighS_injuries,HighG_injuries,HighSV%_injuries,MedS_injuries,MedG_injuries,LowS_injuries,LowG_injuries,AdjSV%_injuries,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%.1,CA_injuries,FA_injuries,SA.1,xGA_injuries,GA.1,TrueSV%_injuries,ExpSV%_injuries,xGSAA_injuries,ZS%_injuries,OZS_injuries,DZS_injuries,NZS_injuries,CF_injuries,FF_injuries,SF_injuries,xGF_injuries,GF_injuries,RebF_injuries,RushF_injuries,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,Pace,1st,2nd,3rd,Star,GPS,Ginj,Injuries,CHIP
0,Allen,Jake,STL,2692.83,2.13901360278963,1.7180259999999947,0.9245875883739199,0.9596299411269975,0.9235506677140612,1.3199999999999932,2378,1752,1273,97.32,96,239,45,0.8117154811715481,594,14,440,37,0.9192658885578238,32.69,78,83,161,2,1,-1,2371,1774,1307,104.22,113,78,97,2.517797261616961,0.47644927536231885,789,867,919,Allen,Jake,STL,1990-08-07,Fredericton,NB,CAN,CAN,74.0,203.0,L,2008.0,2.0,34.0,61.0,60.0,1.0,33.0,20.0,0.0,5.0,1620.0,1482.0,138.0,0.9148148148148149,2.4222448671129317,2.194800000000015,3418.3166666667,4.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,2.4162770174403345,0.0849722561,3400.5,1479.0,138.0,0.9146567717996289,2.434936038817821,33.0,0.55,11.0,8.0,17.8166666667,3.0,0.0,1.0,0.0,32.03,100.0,101.0,201.0,352.0,66.0,0.8125,593.0,55.0,675.0,17.0,0.9104018004809193,1350.0,110.0,0.9185185185185185,241.0,24.0,0.9004149377593361,29.0,4.0,0.8620689655172413,0.9145770560086485,3022.0,2241.0,1620.0,136.01,138.0,0.9543348775645268,0.9160432098765432,-1.990000000000009,0.4655635062611807,1041.0,1195.0,1050.0,2905.0,2190.0,1611.0,137.66,162.0,100.0,111.0,15.0,4.0,0.7333333333333334,1.0,2.0,,UFA,2500000.0,2350000.0,104.03366179259672,9.0,7.0,6.0,22.0,9.8,,, 
1,Alves,Jorge,CAR,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,1,0,0,Alves,Jorge,CAR,1979-01-30,Boston,MA,USA,USA,69.0,185.0,L,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,, 
2,Andersen,Frederik,TOR,2997.2,2.3421860403042842,6.510058000000001,0.9272840273461778,0.9610778443113772,0.9167743940335612,16.909999999999997,3006,2280,1609,133.91,117,336,58,0.8273809523809523,642,8,631,51,0.9285175213103296,30.3,91,156,247,2,7,5,2962,2202,1531,140.48,139,74,181,2.7825970906179105,0.4782157676348548,922,1006,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anderson,Craig,OTT,1908.44,1.8549181530464671,16.994379999999992,0.9404040404040404,0.969254820218864,0.9227777777777778,17.450000000000003,1919,1374,990,76.45,59,199,34,0.8291457286432161,501,8,290,17,0.9354294281684422,35.34,79,117,196,0,0,0,1787,1314,986,78.14,74,95,119,2.3265075139904843,0.5252274607113316,635,574,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bachman,Richard,VAN,244.84,2.6956379676523445,-0.3300820000000009,0.920863309352518,0.9580152671755725,0.9076258992805756,1.8399999999999999,262,204,139,12.84,11,38,8,0.7894736842105263,44,1,57,2,0.9325615629984052,26.77,8,16,24,0,0,0,218,155,107,8.77,8,4,18,1.9604639764744323,0.4768211920529801,72,79,80,Bachman,Richard,VAN,1987-07-25,Salt Lake City,UT,USA,USA,70.0,183.0,L,2006.0,4.0,120.0,5.0,5.0,0.0,2.0,3.0,0.0,0.0,162.0,149.0,13.0,0.9197530864197531,2.642425611202376,1.0194800000000015,295.1833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284681836147285,0.0907154216,295.1833333333,149.0,13.0,0.9197530864197531,2.642425611202376,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.31,8.0,16.0,24.0,48.0,8.0,0.8333333333333334,65.0,4.0,49.0,1.0,0.9291345368916797,141.0,11.0,0.9219858156028369,20.0,2.0,0.9,1.0,0.0,1.0,0.9205702127659575,305.0,236.0,162.0,15.17,13.0,0.9573770491803278,0.9063580246913581,2.17,0.4793814432989691,93.0,101.0,92.0,253.0,185.0,127.0,11.24,9.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,,UFA,575000.0,575000.0,113.42103777314814,1.0,0.0,1.0,2.0,1.1,,, 
5,Bernier,Jonathan,ANA,1535.89,2.226721965765777,-0.42640600000000006,0.9226594301221167,0.9625246548323472,0.9167706919945726,4.340000000000003,1521,1128,737,61.34,57,144,28,0.8055555555555556,301,8,292,21,0.9210669172266975,28.52,46,79,125,2,2,0,1393,1058,760,70.45,67,51,80,2.6173749422159136,0.45965270684371806,450,529,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Berra,Reto,FLA,248.43,3.3812341504649197,-5.095608,0.8793103448275862,0.9363636363636364,0.9010344827586207,-2.5199999999999996,220,172,116,11.48,14,26,6,0.7692307692307692,47,2,43,6,0.8820726258896967,32.45,13,16,29,0,0,0,214,169,129,9.5,9,10,14,2.173650525298877,0.4927536231884058,68,70,97,Berra,Reto,FLA,1987-01-03,Bulach,,CHE,CHE,76.0,210.0,L,2006.0,4.0,106.0,7.0,4.0,3.0,0.0,5.0,0.0,0.0,145.0,127.0,18.0,0.8758620689655172,3.4491935913127754,-5.451699999999999,313.1166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8896577420553693,0.0857306243,236.85,99.0,17.0,0.853448275862069,4.306523115896137,0.0,0.0,2.0,0.0,76.2666666667,28.0,1.0,0.9655172413793104,0.7867132867129428,34.6,15.0,16.0,31.0,39.0,10.0,0.7435897435897436,56.0,6.0,50.0,2.0,0.8829279120879121,117.0,14.0,0.8803418803418803,22.0,2.0,0.9090909090909091,6.0,2.0,0.6666666666666667,0.8796247086247087,263.0,211.0,145.0,14.88,18.0,0.9315589353612167,0.8973793103448275,-3.119999999999999,0.5445026178010471,104.0,87.0,110.0,303.0,241.0,175.0,15.08,11.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,,UFA,1500000.0,1450000.0,108.45797626016837,,,,,0.2,,, 
7,Berube,Jean-Francois,NYI,444.72,3.10307609282245,-5.037692,0.9017094017094017,0.9422110552763819,0.9257264957264957,-5.620000000000001,398,314,234,17.38,23,40,11,0.725,103,4,91,8,0.8928233092393044,33.26,7,21,28,0,0,0,469,335,241,18.16,19,12,21,2.5634106853750676,0.4440789473684211,135,169,161,Berube,Jean-Francois,NYI,1991-07-13,Repentigny,QC,CAN,CAN,73.0,177.0,L,2009.0,4.0,95.0,14.0,7.0,7.0,3.0,2.0,0.0,2.0,271.0,241.0,30.0,0.8892988929889298,3.4167483944444035,-6.547659999999997,526.8166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4794204182351556,0.08110788320000001,389.0833333333,177.0,23.0,0.885,3.546798029556954,3.0,0.42857142857142855,2.0,1.0,137.7333333333,64.0,7.0,0.9014084507042254,3.0493707647635646,32.81,10.0,23.0,33.0,48.0,14.0,0.7083333333333333,109.0,11.0,114.0,5.0,0.8754998994044745,241.0,25.0,0.8962655601659751,26.0,5.0,0.8076923076923077,4.0,0.0,1.0,0.8857197574210023,465.0,365.0,271.0,21.18,30.0,0.935483870967742,0.9218450184501845,-8.82,0.45187165775401067,169.0,205.0,181.0,536.0,384.0,279.0,21.77,31.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,,UFA,675000.0,675000.0,114.00550476129493,0.0,1.0,1.0,2.0,0.8,,, 
8,Bibeau,Antoine,TOR,81.36,1.4749262536873158,0.9937179999999999,0.9487179487179487,0.975,0.9246153846153846,0.94,80,62,39,2.94,2,7,2,0.7142857142857143,20,0,12,0,0.9387714285714286,37.13,0,3,3,0,0,0,109,86,64,4.74,2,0,4,1.4749262536873158,0.5166666666666667,31,29,22,Bibeau,Antoine,TOR,1994-05-01,Victoriaville,QC,CAN,CAN,75.0,210.0,L,2013.0,6.0,172.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,55.0,51.0,4.0,0.9272727272727272,1.989225031081641,0.7597000000000005,120.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.7148777455449644,0.079470859,120.65,51.0,4.0,0.9272727272727272,1.989225031081641,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51,0.0,7.0,7.0,11.0,4.0,0.6363636363636364,20.0,0.0,24.0,0.0,0.9138181818181819,39.0,2.0,0.9487179487179487,11.0,2.0,0.8181818181818181,5.0,0.0,1.0,0.930839160839161,114.0,87.0,55.0,4.63,4.0,0.9649122807017544,0.9158181818181819,0.6299999999999999,0.5227272727272727,46.0,42.0,36.0,148.0,116.0,78.0,7.47,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,,RFA,680000.0,655000.0,130.29423953584748,,,,,0.4,,, 
9,Bishop,Ben,"TBL, LAK",1700.08,2.1528398663592303,1.023696000000001,0.9245049504950495,0.9591152815013405,0.9190594059405941,4.400000000000006,1492,1139,808,65.4,61,168,30,0.8214285714285714,348,4,292,27,0.9234461052252738,34.5,51,104,155,4,1,-3,1646,1254,888,73.53,64,71,86,2.258717236835914,0.5256525652565257,584,527,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bobrovsky,Sergei,CBJ,2947.94,1.8114344253953607,22.458423999999994,0.9387052341597796,0.9674469641550841,0.9116597796143251,39.27000000000001,2734,2007,1452,128.27,89,339,46,0.8643067846607669,619,13,494,30,0.9400665627842727,33.15,116,92,208,2,2,0,2753,2046,1512,128.39,118,96,122,2.4016771033331747,0.4937952430196484,955,979,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Brossoit,Laurent,EDM,261.8,2.0626432391138274,0.8255359999999996,0.9296875,0.9637096774193549,0.910625,2.4399999999999995,248,171,128,11.44,9,29,5,0.8275862068965517,30,0,69,4,0.9421067966016992,23.72,6,16,22,0,0,0,236,179,141,11.61,16,7,14,3.6669213139801373,0.5595238095238095,94,74,109,Brossoit,Laurent,EDM,1993-03-23,Port Alberni,BC,CAN,CAN,75.0,204.0,L,2011.0,6.0,164.0,8.0,4.0,4.0,4.0,1.0,0.0,0.0,153.0,142.0,11.0,0.9281045751633987,1.9852609414949616,2.2406200000000016,332.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.943600541434802,0.08484245700000001,238.2666666667,101.0,9.0,0.9181818181818182,2.2663682148849658,2.0,0.5,0.0,0.0,94.1833333333,41.0,2.0,0.9534883720930233,1.2741107768541051,21.72,10.0,16.0,26.0,34.0,5.0,0.8529411764705882,87.0,6.0,32.0,0.0,0.9386643002028398,132.0,9.0,0.9318181818181819,18.0,1.0,0.9444444444444444,3.0,1.0,0.6666666666666667,0.9275631313131314,305.0,213.0,153.0,14.79,11.0,0.9639344262295082,0.9033333333333333,3.789999999999999,0.5530973451327433,125.0,101.0,127.0,308.0,232.0,183.0,16.31,23.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,,RFA,650000.0,750000.0,110.63317792149195,1.0,1.0,0.0,2.0,1.2,,, 
12,Budaj,Peter,"LAK, TBL",2612.57,1.90616902130852,2.282581999999991,0.9252925292529253,0.9618916437098255,0.9144644464446444,12.030000000000001,2178,1594,1111,95.03,83,211,39,0.8151658767772512,455,7,445,37,0.9238201424668309,35.86,77,141,218,0,1,1,2550,1906,1342,109.74,93,107,134,2.135827939538462,0.5622317596566524,917,714,897,Budaj,Peter,"LAK, TBL",1982-09-18,Banská Bystrica,,SVK,SVK,73.0,196.0,L,2001.0,2.0,63.0,60.0,55.0,5.0,30.0,21.0,0.0,3.0,1414.0,1294.0,120.0,0.9151343705799151,2.1763662743833407,2.3675600000000117,3308.2666666667,7.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.666230049975791,0.0864921307,3227.9333333333,1264.0,117.0,0.9152787834902245,2.17476610421531,32.0,0.5818181818181818,7.0,5.0,80.3333333333,30.0,3.0,0.9090909090909091,2.2406639004158673,35.3,102.0,154.0,256.0,298.0,59.0,0.802013422818792,587.0,47.0,529.0,14.0,0.9123007685107656,1172.0,89.0,0.924061433447099,207.0,28.0,0.8647342995169083,35.0,3.0,0.9142857142857143,0.9151748303525794,2763.0,2029.0,1414.0,128.53,120.0,0.9565689467969598,0.9091018387553041,8.530000000000001,0.5458673932788374,1202.0,1000.0,1030.0,3198.0,2387.0,1676.0,147.01,145.0,133.0,153.0,13.0,7.0,0.46153846153846156,1.0,3.0,,UFA,600000.0,600000.0,108.11099467999246,4.0,7.0,4.0,15.0,8.6,,, 
13,Campbell,Jack,LAK,15.98,0.0,0.307048,1.0,1.0,0.9625,0.15,6,6,4,0.15,0,0,0,0.0,3,0,1,0,0.7857000000000001,44.53,0,0,0,0,0,0,18,15,9,0.62,0,0,1,0.0,0.6666666666666666,4,2,5,Campbell,Jack,LAK,1992-01-09,Port Huron,MI,USA,USA,74.0,197.0,L,2010.0,1.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.43270000000000003,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.08771203970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,5.0,0.0,1.0,0.0,46.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.763,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9770000000000001,10.0,10.0,5.0,0.27,0.0,1.0,0.946,0.27,0.6153846153846154,8.0,5.0,5.0,22.0,19.0,12.0,0.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,96.0,,,,,0.1,,, 
14,Comrie,Eric,WPG,53.12,4.518072289156627,-1.1598060000000001,0.8918918918918919,0.9375,0.8908108108108108,0.040000000000000036,64,46,37,4.04,4,11,3,0.7272727272727273,15,1,11,0,0.913261212121212,28.24,4,1,5,0,0,0,43,35,27,2.45,3,0,2,3.38855421686747,0.4117647058823529,14,20,16,Comrie,Eric,WPG,1995-07-06,Edmonton,AB,CAN,CAN,73.0,175.0,L,2013.0,2.0,59.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,35.0,4.0,0.8974358974358975,4.0472175379426645,-0.6249399999999996,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8937605396290054,0.0940339787,59.3,35.0,4.0,0.8974358974358975,4.0472175379426645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.42,4.0,1.0,5.0,11.0,3.0,0.7272727272727273,13.0,0.0,15.0,1.0,0.9100969696969697,38.0,4.0,0.8947368421052632,0.0,0.0,0.0,1.0,0.0,1.0,0.7665263157894737,71.0,50.0,39.0,4.21,4.0,0.9436619718309859,0.892051282051282,0.20999999999999996,0.4358974358974359,17.0,22.0,16.0,52.0,40.0,31.0,2.86,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,RFA,575000.0,645000.0,124.45193929173693,,,,,0.2,,, 
15,Condon,Mike,"PIT, OTT",1787.11,2.28301559501094,-2.9058239999999955,0.9198113207547169,0.960806916426513,0.9142216981132075,4.739999999999995,1735,1254,848,72.74,68,168,30,0.8214285714285714,348,7,332,31,0.9194595178744536,33.06,66,78,144,1,3,2,1634,1182,857,69.43,60,73,94,2.0144255250096523,0.4943917169974116,573,586,627,Condon,Mike,"PIT, OTT",1990-04-27,Holliston,MA,USA,USA,74.0,197.0,L,,,,41.0,38.0,3.0,19.0,14.0,0.0,6.0,1122.0,1026.0,96.0,0.9144385026737968,2.478041085576991,1.0978800000000035,2324.4166666667,5.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,2.440870469293336,0.08828295400000001,2253.95,995.0,94.0,0.9136822773186409,2.502273786020098,19.0,0.5,7.0,2.0,70.4666666667,31.0,2.0,0.9393939393939394,1.702932828759838,32.03,88.0,90.0,178.0,229.0,40.0,0.8253275109170306,485.0,44.0,408.0,12.0,0.912618447861745,910.0,77.0,0.9153846153846154,173.0,19.0,0.8901734104046243,39.0,0.0,1.0,0.9136499333036906,2234.0,1628.0,1122.0,100.48,96.0,0.9570277529095792,0.9104456327985739,4.480000000000004,0.499691548426897,810.0,811.0,743.0,2108.0,1548.0,1113.0,94.56,94.0,89.0,109.0,13.0,3.0,0.7692307692307692,3.0,1.0,,UFA,575000.0,575000.0,112.0797332664093,9.0,1.0,4.0,14.0,6.8,,, 
16,Copley,Pheonix,STL,46.89,2.5591810620601407,-0.46476000000000006,0.9,0.9459459459459459,0.907,-0.1399999999999999,37,28,20,1.86,2,0,0,0.0,0,0,20,2,0.32517,0.0,1,2,3,0,0,0,40,34,27,2.26,2,2,1,2.5591810620601407,0.5925925925925926,16,11,19,Copley,Pheonix,STL,1992-01-18,North Pole,AK,USA,USA,76.0,196.0,L,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0,24.0,5.0,0.8275862068965517,5.09049773755944,-2.4903399999999998,58.9333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1052036199112587,0.095687885,58.9333333333,24.0,5.0,0.8275862068965517,5.09049773755944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.3177931034482759,20.0,2.0,0.9,7.0,3.0,0.5714285714285714,2.0,0.0,1.0,0.8543285714285715,48.0,37.0,29.0,2.46,5.0,0.8958333333333334,0.9151724137931034,-2.54,0.5897435897435898,23.0,16.0,22.0,55.0,46.0,37.0,3.05,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,UFA,708750.0,708750.0,104.86425339372447,,,,,-0.1,,, 
17,Coreau,Jared,DET,561.92,2.882972665148064,-5.660164000000002,0.9028776978417266,0.9488636363636364,0.9143525179856116,-3.1900000000000013,528,399,278,23.81,27,48,13,0.7291666666666667,105,4,125,10,0.8968887976190477,27.05,16,23,39,0,0,0,507,380,279,24.19,29,13,28,3.0965261958997723,0.4871060171919771,170,179,225,Coreau,Jared,DET,1991-11-05,Perth,ON,CAN,CAN,78.0,220.0,L,,,,14.0,14.0,0.0,5.0,4.0,0.0,3.0,362.0,321.0,41.0,0.8867403314917127,3.4566744730677534,-9.672519999999999,711.6666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6312880562059657,0.08610165010000001,711.6666666667,321.0,41.0,0.8867403314917127,3.4566744730677534,5.0,0.35714285714285715,6.0,3.0,0.0,0.0,0.0,0.0,0.0,24.65,22.0,30.0,52.0,77.0,19.0,0.7532467532467533,167.0,17.0,119.0,5.0,0.8865052904123,291.0,31.0,0.8934707903780069,60.0,7.0,0.8833333333333333,11.0,3.0,0.7272727272727273,0.8881681661980632,669.0,513.0,363.0,34.56,41.0,0.9387144992526159,0.9047933884297521,-6.439999999999998,0.4956896551724138,230.0,234.0,250.0,620.0,465.0,331.0,31.21,32.0,14.0,30.0,3.0,1.0,0.6666666666666667,1.0,0.0,,RFA,575000.0,612500.0,108.67447306791058,1.0,1.0,1.0,3.0,1.0,,, 
18,Crawford,Corey,CHI,2608.24,2.139373677268963,8.939935999999989,0.9299698795180723,0.9614747307373653,0.9191867469879518,14.319999999999993,2414,1774,1328,107.32,93,292,47,0.839041095890411,550,15,486,31,0.9308860766211071,31.38,88,149,237,1,3,2,2495,1806,1348,105.13,103,50,112,2.3694138576204646,0.5126742712294043,809,769,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Darling,Scott,CHI,1403.79,1.9233646058171094,10.191877999999996,0.9374130737134909,0.9653579676674365,0.9161196105702365,15.310000000000002,1299,942,719,60.31,45,178,24,0.8651685393258427,297,8,244,13,0.9404243779819439,29.88,47,91,138,0,0,0,1279,903,668,56.51,62,49,60,2.6499690124591284,0.5278810408921933,426,381,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Dell,Aaron,SJS,942.67,1.4639269309514464,11.466138,0.9487750556792873,0.9749182115594329,0.9131848552338531,15.979999999999997,917,640,449,38.98,23,94,12,0.8723404255319149,187,1,168,10,0.9488670820939594,31.31,38,62,100,0,0,0,877,634,408,36.35,33,33,41,2.1004169009303366,0.5078534031413613,291,282,308,Dell,Aaron,SJS,1989-05-04,Airdrie,AB,CAN,CAN,72.0,205.0,L,,,,20.0,17.0,3.0,11.0,6.0,0.0,1.0,533.0,496.0,37.0,0.9305816135084428,1.9990094997973975,9.125820000000004,1110.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4847147809643872,0.0870790942,1014.4166666667,450.0,33.0,0.9316770186335404,1.9518606752648664,12.0,0.7058823529411765,1.0,0.0,96.1333333333,46.0,4.0,0.92,2.496532593620838,30.88,46.0,71.0,117.0,120.0,22.0,0.8166666666666667,207.0,14.0,206.0,1.0,0.9287391796820037,465.0,25.0,0.946236559139785,56.0,9.0,0.8392857142857143,12.0,3.0,0.75,0.9261082949308757,1077.0,759.0,533.0,48.62,37.0,0.9656453110492108,0.9087804878048781,11.619999999999997,0.49791955617198336,359.0,362.0,342.0,1035.0,749.0,491.0,45.99,43.0,42.0,46.0,0.0,0.0,0.0,0.0,0.0,,UFA,575000.0,625000.0,114.10562333978659,3.0,3.0,2.0,8.0,4.2,,, 
21,Domingue,Louis,ARI,1260.9,2.569593147751606,-0.6504100000000008,0.9223021582733812,0.959059893858984,0.9134532374100719,6.149999999999999,1319,998,695,60.15,54,142,23,0.8380281690140845,306,11,247,20,0.9207781667406465,30.35,51,52,103,0,0,0,1122,828,577,44.05,49,51,53,2.331667856293124,0.4498186215235792,372,455,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
